+-----------------+--------+-----+-----+--------+-------+----------------+-------------------+---------------------+-------------+----------------------------+
| Model           | Layers | M   | N   | Lambda | Noise | Train time (s) | GPU mem mean (MB) | GPU mem median (MB) | Mem samples | Timestamp                  |
| l2o_rnnprop     | 1000   | 25  | 50  | 0.005  | 0.0   | 58.26          | 7752.2            | 7749.0              | 5           | 2026-05-10T17:20:55.906336 |
| l2o_rnnprop     | 1000   | 50  | 100 | 0.005  | 0.0   | 161.08         | 7748.8            | 7752.0              | 16          | 2026-05-10T17:24:20.314824 |
| l2o_rnnprop     | 1000   | 100 | 200 | 0.005  | 0.0   | 312.31         | 7649.4            | 7527.0              | 31          | 2026-05-10T17:30:35.578751 |
| l2o_rnnprop     | 1000   | 200 | 400 | 0.005  | 0.0   | 318.76         | 7596.0            | 7593.0              | 31          | 2026-05-10T17:37:56.734448 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 17189.12       | 7560.8            | 7529.0              | 1711        | 2026-05-10T03:35:15.181178 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.7            |                   |                     | 0           | 2026-05-10T09:55:26.878782 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.7            |                   |                     | 0           | 2026-05-10T10:10:42.119834 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.67           |                   |                     | 0           | 2026-05-10T10:56:36.414028 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.51           |                   |                     | 0           | 2026-05-10T12:03:03.199153 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.47           |                   |                     | 0           | 2026-05-10T12:08:23.597451 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.43           |                   |                     | 0           | 2026-05-10T12:13:50.616216 |
| lfista          | 16     | 5   | 10  | 0.005  | 0.0   | 7.93           |                   |                     | 0           | 2026-05-10T16:00:24.713251 |
| lfista          | 2      | 25  | 50  | 0.005  | 0.0   | 1.45           |                   |                     | 0           | 2026-05-07T15:24:47.050060 |
| lfista          | 2      | 25  | 50  | 0.005  | 0.1   | 387.44         |                   |                     | 0           | 2026-05-07T15:46:15.929439 |
| lfista          | 2      | 25  | 50  | 0.005  | 0.1   | 379.2          |                   |                     | 0           | 2026-05-07T17:42:19.574866 |
| lfista          | 2      | 25  | 50  | 0.005  | 0.15  | 336.53         | 7692.8            | 7703.0              | 33          | 2026-05-07T22:44:45.575613 |
| lfista          | 2      | 25  | 50  | 0.005  | 0.15  | 1.36           |                   |                     | 0           | 2026-05-08T00:40:58.585223 |
| lfista          | 2      | 25  | 50  | 0.005  | 0.15  | 1.41           |                   |                     | 0           | 2026-05-08T10:21:33.588339 |
| lfista          | 4      | 25  | 50  | 0.005  | 0.0   | 1.8            |                   |                     | 0           | 2026-05-07T15:25:02.425045 |
| lfista          | 4      | 25  | 50  | 0.005  | 0.1   | 2155.71        |                   |                     | 0           | 2026-05-07T18:41:13.734407 |
| lfista          | 4      | 25  | 50  | 0.005  | 0.15  | 2130.67        | 7788.3            | 7789.5              | 212         | 2026-05-07T23:43:50.294063 |
| lfista          | 4      | 25  | 50  | 0.005  | 0.15  | 1.76           |                   |                     | 0           | 2026-05-08T00:41:14.353625 |
| lfista          | 4      | 25  | 50  | 0.005  | 0.15  | 1.83           |                   |                     | 0           | 2026-05-08T10:21:50.790734 |
| lfista          | 8      | 25  | 50  | 0.005  | 0.1   | 4994.83        |                   |                     | 0           | 2026-05-07T21:17:45.352121 |
| lfista          | 8      | 25  | 50  | 0.005  | 0.15  | 4343.31        | 7794.1            | 7784.0              | 432         | 2026-05-08T11:51:44.428420 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 17903.36       | 7789.3            | 7704.0              | 1782        | 2026-05-09T22:48:43.234454 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.52           |                   |                     | 0           | 2026-05-10T09:55:17.518441 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.2            |                   |                     | 0           | 2026-05-10T10:10:32.760701 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.83           |                   |                     | 0           | 2026-05-10T10:56:27.009789 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.06           |                   |                     | 0           | 2026-05-10T12:02:54.039806 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.09           |                   |                     | 0           | 2026-05-10T12:08:14.460007 |
